CD_REFNIS,TX_DESCR_NL,TX_DESCR_FR,AREA,POP
85034,Saint-Léger (Virton),Saint-Léger (Virton),3627.624063,3608
85039,Tintigny,Tintigny,8183.922192,4300
85045,Virton,Virton,9562.523565,11332
85046,Habay,Habay,10353.51854,8409
85047,Rouvroy,Rouvroy,2810.131668,2107
91005,Anhée,Anhée,6603.125745,7046
91013,Beauraing,Beauraing,17464.45868,9159
91015,Bièvre,Bièvre,10955.37677,3355
91030,Ciney,Ciney,14786.98931,16580
91034,Dinant,Dinant,10005.59655,13451
91054,Gedinne,Gedinne,15157.49257,4632
91059,Hamois,Hamois,7658.627563,7357
91064,Havelange,Havelange,10475.52715,5175
91072,Houyet,Houyet,12282.88155,4956
91103,Onhaye,Onhaye,6565.853342,3241
91114,Rochefort,Rochefort,16634.01468,12611
91120,Somme-Leuze,Somme-Leuze,9523.604018,5641
91141,Yvoir,Yvoir,5707.917153,9167
91142,Hastière,Hastière,5659.407621,6022
91143,Vresse-sur-Semois,Vresse-sur-Semois,10146.58441,2615
92003,Andenne,Andenne,8614.45279,27391
92006,Assesse,Assesse,7854.724535,7032
92035,Eghezée,Eghezée,10322.08866,16337
92045,Floreffe,Floreffe,3911.794079,8144
92048,Fosses-la-Ville,Fosses-la-Ville,6330.693654,10388
92054,Gesves,Gesves,6498.535026,7202
92087,Mettet,Mettet,11694.54815,13102
92094,Namen,Namur,17589.34015,110779
92097,Ohey,Ohey,5668.322027,5127
92101,Profondeville,Profondeville,5039.235269,12220
92114,Sombreffe,Sombreffe,3589.257524,8440
92137,Sambreville,Sambreville,3425.944596,28288
92138,Fernelmont,Fernelmont,6582.973505,8032
92140,Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,4697.557213,19190
92141,La Bruyère,La Bruyère,5303.601408,9276
92142,Gembloux,Gembloux,9646.09615,26014
93010,Cerfontaine,Cerfontaine,8344.798221,4923
93014,Couvin,Couvin,20697.52129,13747
93018,Doische,Doische,8411.909834,2997
93022,Florennes,Florennes,13421.03903,11310
93056,Philippeville,Philippeville,15732.18552,9289
93088,Walcourt,Walcourt,12364.49386,18430
93090,Viroinval,Viroinval,12112.35543,5659
(blank),(blank),(blank),,
