CD_REFNIS,TX_DESCR_NL,TX_DESCR_FR,AREA,POP
23103,Wezembeek-Oppem,Wezembeek-Oppem,686.2691452,14258
23104,Lennik,Lennik,3112.413432,9074
23105,Affligem,Affligem,1791.397938,13228
24001,Aarschot,Aarschot,6300.657787,30115
24007,Begijnendijk,Begijnendijk,1767.550248,10114
24008,Bekkevoort,Bekkevoort,3728.955076,6306
24009,Bertem,Bertem,2999.726543,10007
24011,Bierbeek,Bierbeek,3893.493139,10083
24014,Boortmeerbeek,Boortmeerbeek,1877.876502,12516
24016,Boutersem,Boutersem,3113.2507,8242
24020,Diest,Diest,5870.331417,23998
24028,Geetbets,Geetbets,3552.002512,6118
24033,Haacht,Haacht,3073.559008,14577
24038,Herent,Herent,3273.167271,21682
24041,Hoegaarden,Hoegaarden,3412.928347,6886
24043,Holsbeek,Holsbeek,3877.432283,10019
24045,Huldenberg,Huldenberg,3996.315089,9921
24048,Keerbergen,Keerbergen,1851.974143,12850
24054,Kortenaken,Kortenaken,4943.867445,7875
24055,Kortenberg,Kortenberg,3469.855799,20279
24059,Landen,Landen,5330.137889,15951
24062,Leuven,Louvain,5750.695603,101624
24066,Lubbeek,Lubbeek,4527.090772,14559
24086,Oud-Heverlee,Oud-Heverlee,3121.865757,11112
24094,Rotselaar,Rotselaar,3720.624296,16793
24104,Tervuren,Tervuren,3357.759622,22422
24107,Tienen,Tirlemont,7277.107334,34975
24109,Tremelo,Tremelo,2190.093284,14914
24130,Zoutleeuw,Léau,4683.948809,8480
24133,Linter,Linter,3687.401933,7269
24134,Scherpenheuvel-Zichem,Montaigu-Zichem,5117.244553,23029
24135,Tielt-Winge,Tielt-Winge,4454.075332,10747
24137,Glabbeek,Glabbeek,2698.447414,5271
25005,Bevekom,Beauvechain,3856.878903,7243
25014,Eigenbrakel,Braine-l’Alleud,5231.453837,40008
25015,Kasteelbrakel,Braine-le-Château,2275.167888,10549
25018,Chaumont-Gistoux,Chaumont-Gistoux,4833.308156,11798
25023,Court-Saint-Etienne,Court-Saint-Etienne,2687.188987,10540
25031,Genepiën,Genappe,9034.967597,15427
25037,Graven,Grez-Doiceau,5554.431685,13668
25043,Incourt,Incourt,3890.815117,5487
25044,Itter,Ittre,3503.093238,6889
25048,Geldenaken,Jodoigne,7373.058877,14123
25050,Terhulpen,La Hulpe,1551.608153,7343
25068,Mont-Saint-Guibert,Mont-Saint-Guibert,1873.257744,7771
25072,Nijvel,Nivelles,6083.274529,28734
25084,Perwijs (Nijvel),Perwez (Nivelles),5117.254466,9303
25091,Rixensart,Rixensart,1756.086597,22558
25105,Tubeke,Tubize,3277.162432,26233
25107,Villers-la-Ville,Villers-la-Ville,4803.013656,10702
25110,Waterloo,Waterloo,2132.441203,30328
25112,Waver,Wavre,4210.310558,34396
25117,Chastre,Chastre,3158.163016,7647
25118,Hélécine,Hélécine,1698.253793,3553
25119,Lasne,Lasne,4755.868267,14244
25120,Orp-Jauche,Orp-Jauche,5079.951184,8924
25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,3340.922847,31443
25122,Ramillies,Ramillies,4907.729874,6522
25123,Rebecq,Rebecq,3925.649323,10979
25124,Walhain,Walhain,3806.930523,7187
31003,Beernem,Beernem,7242.343948,15763
31004,Blankenberge,Blankenberge,1891.475538,20436
31005,Brugge,Bruges,14090.06931,118325
31006,Damme,Damme,9036.006159,10993
31012,Jabbeke,Jabbeke,5386.61724,13865
31022,Oostkamp,Oostkamp,8009.372875,23698
31033,Torhout,Torhout,4532.717652,20463
31040,Zedelgem,Zedelgem,6064.755789,22819
31042,Zuienkerke,Zuienkerke,4890.723433,2721
31043,Knokke-Heist,Knokke-Heist,6140.806548,33126
32003,Diksmuide,Dixmude,15076.34097,16743
32006,Houthulst,Houthulst,5600.211986,10098
32010,Koekelare,Koekelare,3944.610867,8777
32011,Kortemark,Kortemark,5543.398765,12616
32030,Lo-Reninge,Lo-Reninge,6339.104757,3291
33011,Ieper,Ypres,13146.08641,34845
33016,Mesen,Messines,359.6311808,1065
33021,Poperinge,Poperinge,12038.3567,19702
33029,Wervik,Wervik,4377.25063,18767
33037,Zonnebeke,Zonnebeke,6808.09701,12481
33039,Heuvelland,Heuvelland,9479.231931,7909
33040,Langemark-Poelkapelle,Langemark-Poelkapelle,5305.734895,7819
33041,Vleteren,Vleteren,3859.174837,3691
34002,Anzegem,Anzegem,4235.3517,14716
34003,Avelgem,Avelgem,2211.667459,10158
34009,Deerlijk,Deerlijk,1697.280666,11946
34013,Harelbeke,Harelbeke,2939.954059,28158
34022,Kortrijk,Courtrai,8069.960236,76735
34023,Kuurne,Kuurne,1010.861863,13484
34025,Lendelede,Lendelede,1327.283754,5747
34027,Menen,Menin,3316.352161,33385
34040,Waregem,Waregem,4449.765508,38266
34041,Wevelgem,Wevelgem,3913.797162,31406
34042,Zwevegem,Zwevegem,6360.417552,24656
34043,Spiere-Helkijn,Espierres-Helchin,1082.046639,2049
35002,Bredene,Bredene,1416.910164,18095
35005,Gistel,Gistel,4278.665516,12178
35006,Ichtegem,Ichtegem,4579.245602,14050
35011,Middelkerke,Middelkerke,7882.631992,19336
35013,Oostende,Ostende,4095.786926,71494
35014,Oudenburg,Oudenburg,3556.233861,9381
35029,De Haan,De Haan,4604.397434,12666
36006,Hooglede,Hooglede,3810.312936,9987
36007,Ingelmunster,Ingelmunster,1643.016988,10996
36008,Izegem,Izegem,2563.383559,28018
36010,Ledegem,Ledegem,2483.359555,9695
36011,Lichtervelde,Lichtervelde,2615.920323,8926
36012,Moorslede,Moorslede,3544.885937,11250
36015,Roeselare,Roulers,6040.051522,62954
36019,Staden,Staden,4683.710536,11489
37002,Dentergem,Dentergem,2608.964306,8555
37007,Meulebeke,Meulebeke,2950.223872,10860
37010,Oostrozebeke,Oostrozebeke,1672.3842,7932
37011,Pittem,Pittem,3468.253195,6738
37012,Ruiselede,Ruiselede,3062.06514,5358
37015,Tielt (Tielt),Tielt (Tielt),6884.514138,20502
37017,Wielsbeke,Wielsbeke,2191.122802,9641
37018,Wingene,Wingene,6854.40874,14263
37020,Ardooie,Ardooie,3492.86789,9056
38002,Alveringem,Alveringem,8068.734828,5047
38008,De Panne,La Panne,2661.664078,11176
38014,Koksijde,Koksijde,5001.364425,21910
38016,Nieuwpoort,Nieuport,3313.42643,11621
38025,Veurne,Furnes,9720.777677,11903
41002,Aalst (Aalst),Alost (Alost),7865.254275,86445
41011,Denderleeuw,Denderleeuw,1387.221186,20338
41018,Geraardsbergen,Grammont,8005.084811,33439
41024,Haaltert,Haaltert,3052.85164,18633
41027,Herzele,Herzele,4789.009281,18027
41034,Lede,Lede,2989.679638,18701
41048,Ninove,Ninove,7310.588697,38911
41063,Sint-Lievens-Houtem,Sint-Lievens-Houtem,2705.526537,10342
41081,Zottegem,Zottegem,5746.428949,26582
41082,Erpe-Mere,Erpe-Mere,3440.563804,19811
42003,Berlare,Berlare,3822.743677,14958
42004,Buggenhout,Buggenhout,2563.760634,14517
42006,Dendermonde,Termonde,5647.794566,45769
42008,Hamme (Dendermonde),Hamme (Termonde),4058.092765,24865
42010,Laarne,Laarne,3257.964504,12370
42011,Lebbeke,Lebbeke,2736.316835,19321
42023,Waasmunster,Waasmunster,3223.467409,10801
42025,Wetteren,Wetteren,3701.319468,25815
